dataset,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
ItalyPowerDemand,0.968902,0.940719,0.958212,0.964043,0.955296,0.968902,0.963071,0.971817,0.941691,0.965015,0.960155,0.947522,0.964043,0.963071,0.945578,0.964043,0.95724,0.958212,0.965986,0.964043,0.958212,0.964043,0.961127,0.958212,0.951409,0.965015,0.961127,0.963071,0.953353,0.964043
LargeKitchenAppliances,0.864,0.904,0.92,0.885333,0.893333,0.893333,0.901333,0.914667,0.885333,0.901333,0.906667,0.914667,0.914667,0.928,0.922667,0.882667,0.928,0.922667,0.893333,0.88,0.925333,0.914667,0.906667,0.874667,0.914667,0.898667,0.885333,0.925333,0.890667,0.904
Lightning2,0.737705,0.803279,0.754098,0.836066,0.688525,0.786885,0.704918,0.754098,0.721311,0.737705,0.786885,0.819672,0.770492,0.770492,0.754098,0.754098,0.770492,0.754098,0.754098,0.737705,0.754098,0.639344,0.57377,0.704918,0.819672,0.786885,0.786885,0.770492,0.721311,0.803279
Lightning7,0.794521,0.821918,0.726027,0.739726,0.794521,0.808219,0.780822,0.780822,0.780822,0.794521,0.753425,0.794521,0.780822,0.726027,0.726027,0.808219,0.821918,0.767123,0.739726,0.739726,0.808219,0.794521,0.794521,0.753425,0.835616,0.739726,0.808219,0.780822,0.780822,0.794521
Mallat,0.950959,0.959062,0.963753,0.951812,0.961194,0.954371,0.946695,0.971855,0.961194,0.940299,0.973561,0.936887,0.947122,0.954371,0.953945,0.922388,0.927079,0.963753,0.948827,0.97484,0.964606,0.96162,0.965032,0.970576,0.939872,0.960768,0.965885,0.944563,0.96887,0.971002
Meat,0.966667,1.0,1.0,0.966667,1.0,1.0,1.0,1.0,0.983333,1.0,1.0,1.0,1.0,0.983333,0.983333,0.983333,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.966667,1.0,0.983333,0.983333,1.0,1.0,1.0
MedicalImages,0.794737,0.790789,0.819737,0.805263,0.810526,0.806579,0.792105,0.802632,0.786842,0.811842,0.819737,0.821053,0.789474,0.810526,0.817105,0.794737,0.777632,0.806579,0.793421,0.817105,0.797368,0.782895,0.8,0.806579,0.798684,0.825,0.815789,0.805263,0.813158,0.818421
MiddlePhalanxOutlineAgeGroup,0.61039,0.701299,0.75974,0.701299,0.688312,0.714286,0.714286,0.74026,0.681818,0.62987,0.701299,0.720779,0.746753,0.681818,0.772727,0.707792,0.727273,0.681818,0.727273,0.701299,0.720779,0.694805,0.701299,0.707792,0.668831,0.753247,0.642857,0.75974,0.746753,0.733766
MiddlePhalanxOutlineCorrect,0.852234,0.831615,0.865979,0.865979,0.85567,0.845361,0.852234,0.814433,0.859107,0.838488,0.835052,0.845361,0.841924,0.862543,0.835052,0.841924,0.848797,0.835052,0.814433,0.869416,0.831615,0.876289,0.831615,0.831615,0.828179,0.831615,0.848797,0.838488,0.80756,0.845361
MiddlePhalanxTW,0.538961,0.603896,0.603896,0.649351,0.584416,0.623377,0.597403,0.603896,0.571429,0.590909,0.584416,0.571429,0.623377,0.538961,0.616883,0.558442,0.558442,0.590909,0.571429,0.603896,0.584416,0.603896,0.564935,0.597403,0.590909,0.603896,0.603896,0.597403,0.636364,0.558442
MixedShapesRegularTrain,0.973608,0.968247,0.971134,0.964948,0.965773,0.972371,0.962062,0.966598,0.972371,0.965773,0.969072,0.958351,0.972371,0.966598,0.971959,0.970309,0.96701,0.974021,0.969485,0.96866,0.969485,0.976495,0.970722,0.970722,0.963299,0.967835,0.96866,0.976495,0.971546,0.974845
MixedShapesSmallTrain,0.955464,0.939381,0.940619,0.952165,0.92866,0.943093,0.945979,0.950515,0.950103,0.944742,0.93567,0.948041,0.927423,0.936082,0.933608,0.91299,0.939381,0.936082,0.926186,0.958351,0.938557,0.950515,0.943093,0.946392,0.943505,0.94268,0.950103,0.924536,0.950515,0.947216
MoteStrain,0.930511,0.932907,0.929712,0.867412,0.90655,0.858626,0.915335,0.923323,0.913738,0.896965,0.908147,0.919329,0.873003,0.904153,0.925719,0.929712,0.896166,0.900958,0.882588,0.917732,0.930511,0.880192,0.948882,0.917732,0.9377,0.908147,0.95607,0.904153,0.944888,0.926518
OSULeaf,0.958678,0.979339,0.946281,0.971074,0.950413,0.950413,0.950413,0.950413,0.958678,0.96281,0.954545,0.958678,0.954545,0.96281,0.971074,0.96281,0.950413,0.942149,0.950413,0.96281,0.950413,0.946281,0.958678,0.966942,0.958678,0.966942,0.958678,0.966942,0.958678,0.946281
OliveOil,0.933333,0.933333,0.866667,0.966667,0.9,0.9,0.966667,0.866667,0.933333,0.9,0.9,0.933333,0.933333,0.966667,0.966667,0.866667,0.933333,0.933333,0.9,0.966667,0.9,0.9,0.833333,0.966667,0.933333,0.866667,0.866667,0.833333,0.866667,1.0
